id,name,address,latitude,longitude,location,types,
1,"	Chapat Ganesh Mandir",,27.67131384,85.32896703,0,,
2, Mayadevi Temple,,27.46964111,83.27578465,0,,
3, Sikali Mandir,,27.64353532,85.28550217,0,,
4,'D DECORE AQUARIUM HOUSE,"JG96+7HX, sauraha Sauraha chock, rata‍nanagara, naepaala",27.6182422,84.5114908,sauraha Sauraha chock, aquarium,
5,( baalagaurau shadaananadakao shaalaiika) Statue of Balaguru shadananda,"944P+RR2, shadaananada 57000, naepaala",27.3570005,87.1370185,shadaananada, monument,
6,(dhaaulaigaada)( laghaujalawaidayauta),"H2RG+7V, laekhagaauँ 10500, naepaala",29.5906907,81.0271282,laekhagaauँ,,
7,(saidaiimaula) paanaikao maula,"7J2V+F3, kaushamaa 33400, naepaala",28.2500473,83.6422574,kaushamaa, amusement_park,
8,"(shaanatai chaoka ,madana paokharaii )","Damak 3, damaka 57217, naepaala",26.6973458,87.6748964,damaka, historic_site,
9,"1.daewala, History monument","9X49+FV, dhaapaa 21200, naepaala",29.3562059,81.9696563,dhaapaa, monument,
10,10000 Liters of Water Tank,"7HWP+MH5, Phaedaii, Baglung, Nepal",28.2966493,83.586496,5,Phaedaii,
11,21st century art gallery,"Kathmandu 44600, Nepal",27.715548,85.3094968,Nepal,"art_gallery, museum, point_of_interest, establishment",
12,3 Dhungi,"GX7W+4W, maaulaalaii 10500, naepaala",29.5127959,80.9973508,maaulaalaii, hike,
13,3AT Aquarium Shop,"PC2H+GMJ, naaraayanaghaata-maugalainga raajamaaraga, bharatapaura 44207, naepaala",27.7013464,84.4291445,naaraayanaghaata-maugalainga raajamaaraga, aquarium,
14,3B gallery,"Shreenagar Tole 2, baagalaunga 33300, naepaala",28.2723125,83.5988302,baagalaunga, art_gallery,
15,3D Art World - Interactive Museum,"M82R+PW2, mahaalakashamaii 44700, naepaala",27.6510185,85.3441141,mahaalakashamaii, museum,
16,4 Brothers Khet,"MH6M+33, panasaeraa 56400, naepaala",26.6602333,86.5826297,panasaeraa, museum,
17,5 storey temple,"Taumadhi Square, bhakatapaura 44800, naepaala",27.6710815,85.4293023,bhakatapaura, monument,
18,50 kilo,"MM2C+RJW, aranaikao raajamaaraga, paaँchakhaala 45215, naepaala",27.652125,85.6715909,aranaikao raajamaaraga, historic_site,
19,52 Bigha,"PWRV+GVX, janakapaura 45600, naepaala",26.7413518,85.9447239,janakapaura, historic_site,
20,55 window palace,,27.672364,85.428281,0,,
21,60 SATHI MURII,"6PVP+56P, maijhaiinga 22100, naepaala",28.2429719,82.7355648,maijhaiinga, park,
22,7thist Church,"WW6P+2G, iilaama 57300, naepaala",26.9085738,87.9361783,iilaama, church,
23,A P MOUNT FRAMING GALLERY,"H3MM+4QW, kapailawasatau 32800, naepaala",27.5854588,83.0845963,kapailawasatau, art_gallery,
24,A.G Stuti Church,"RGRR+RW6, Darchula - Tinkar Rd, maohataii 10100, naepaala",29.8420529,80.5422617,Darchula - Tinkar Rd, church,
25,A.L Aquarium and sounds,"bhakatapaura 44800, naepaala",27.6764409,85.4298154,naepaala, aquarium,
26,A.S Aquarium fish and pet shop,"JGJC+643, Bus Park Road, banaepaa 45210, naepaala",27.6305191,85.5202904,Bus Park Road, aquarium,
27,A.S. Aquarium Fish & Pet Shop,"jaorapaataii saunadaraiijala sadaka, gaokaranaeshawara 44602, naepaala",27.728409,85.37833,gaokaranaeshawara, aquarium,
28,ADVENTURE ART GALLERY,"bhainadayao kawa - saauga: laँ, Lalitpur 44700, Nepal",27.6740859,85.3252345,Lalitpur,"art_gallery, museum, point_of_interest, store, establishment",
29,AGLESWER MAHDEV,"GW39+CMC, Unnamed Road, daoramabaa 45400, naepaala",27.5035517,85.9191561,Unnamed Road, hindu_temple,
30,ANUGRAH A.G.F.N. CHURCH MARIPAKHA RUKUMKOT RUKUM EAST,"JJ9F+4C3, raukaumakaota 22000, naepaala",28.617622,82.622573,raukaumakaota, church,
31,ANUGRAH CHURCH,"6WWQ+297, daipaayala sailagadhaii 10800, naepaala",29.245017,80.9383925,daipaayala, church,
32,AQUA CLOSET,"Nagaun dobato, kaiirataipaura 44618, naepaala",27.6748205,85.2781001,kaiirataipaura,,
33,ART DECOR,"M8M9+59F, Lalitpur 44700, Nepal",27.6829574,85.3183737,Lalitpur,"art_gallery, point_of_interest, establishment",
34,AS Handicrafts & Art Gallery,"Gakyaba Marga, Lalitpur 44700, Nepal",27.6713409,85.3201495,Lalitpur,"art_gallery, point_of_interest, establishment",
35,AURI BAZAR,"Barbardiya -08 Auri Bardiya Nepal, 21804, naepaala",28.3533168,81.4329969,21804, monument,
36,Aadarsha park,"HQ2R+R64, daaunanae daewaii maaraga, baradaghaata 33007, naepaala",27.5509032,83.7904038,daaunanae daewaii maaraga, park,
37,Aadeshwar Mahadev Temple,,27.72270504,85.27093543,0,,
38,Aadipadma Mahavihar,,27.6733111,85.4352705,0,,
39,Aahalbhanjyang,,26.94246505,88.0356051,0,,
40,Aahana Aquarium Shop,"mahaalakashamaii, naepaala",27.6513744,85.3547263,naepaala, aquarium,
41,Aaidungra,"Parashuram,08, naepaala",29.0590574,80.2770329,8, tourist_attraction,
42,Aakash Bhairab Mandir,,27.67348059,85.3277758,0,,
43,Aale hadish masjid banrahwa,"98M8+GCG, 32900, naepaala",27.3837596,83.3160761,32900, mosque,
44,Aamchowk Municipality Office,"57000, naepaala",26.9766478,86.9788207,naepaala, mosque,
45,Aamtola aaँmataomlaa,"FF87+6CF, Bhawane - Rangeli Rd, darabaeshaa 56600, naepaala",26.4655545,87.4635547,Bhawane - Rangeli Rd, park,
