1,Garden of Dreams,"P877+MR2, Tridevi Sadak, Kathmandu 44600, Nepal",27.7141261,85.3145041,4.2,Tridevi Sadak,"tourist_attraction, park, point_of_interest, establishment",No results found in Wikipedia for this location.
2,Swayambhu Buddha Park - Ring Road,"Kathmandu 44600, Nepal",27.716145,85.2838866,4.5,Nepal,"park, tourist_attraction, point_of_interest, establishment",No results found in Wikipedia for this location.
3,Narayanhiti Royal Palace,"Narayanhiti Path, Kathmandu 44600, Nepal",27.7148218,85.3180841,4.4,Kathmandu,"museum, point_of_interest, establishment",No results found in Wikipedia for this location.
4,Kathmandu Guide,"Paknajol Marg, Kathmandu 44600, Nepal",27.7172237,85.3090963,4.0,Kathmandu,"tourist_attraction, museum, hindu_temple, travel_agency, place_of_worship, point_of_interest, establishment",No results found in Wikipedia for this location.
5,Ratna Park,"ratana paaraka patha, Kathmandu 44600, Nepal",27.7060531,85.3148081,3.9,Kathmandu,"park, tourist_attraction, point_of_interest, establishment",No results found in Wikipedia for this location.
6,Chittikot paid-bajura,"9845+9V3, Bajura 10600, Nepal",29.3558565,81.3096089,3.8,Bajura,"museum, point_of_interest, establishment",No results found in Wikipedia for this location.
7,Nag Pokhari,"MCFM+M8H, Bhaktapur 44800, Nepal",27.6741945,85.4333464,4.1,Bhaktapur,"park, point_of_interest, establishment",No results found in Wikipedia for this location.
8,National Art Museum,"MCCH+W55, Durbar square Durbar Square, Bhaktapur 44800, Nepal",27.6721934,85.4281506,4.2,Durbar square Durbar Square,"tourist_attraction, museum, point_of_interest, establishment",No results found in Wikipedia for this location.
9,mayaura jhayaala,"MCFP+87C, Bhaktapur 44800, Nepal",27.6733036,85.4356439,4.7,Bhaktapur,"museum, point_of_interest, establishment",No results found in Wikipedia for this location.
10,Bhaktapur Art Gallery,"MCCH+W55, Bhaktapur 44800, Nepal",27.6722594,85.4279759,4.6,Bhaktapur,"art_gallery, museum, point_of_interest, establishment",No results found in Wikipedia for this location.
