user_id,user_name,name,rating,review_text,date,likes_count,reviewer_link,reviewer_image,photos
1,Shivesh Sharma,Chapat Ganesh Mandir,3,"#Chapat_Ganesh
Chapat Ganesh is located around 500m east from Patan Durbar Square. The easiest way to get there is via Sundhara. When you reach Sundhara cross road, take a turn towards Northern narrower street (opposite side to the golden spout), keep on going straight then you will reach this place.

Chapat Ganesh has got a mythological story that quite amazes us. Normally, people of Patan visit this temple when they had lost something. There is a strong belief that, if someone looses something and offer Laddu to the Ganesh then they will find their lost objects.

That is why, Chapat Ganesh is regarded as one of the four main Vinayak established inside Patan city. It is the regarded as representation of Ashok Vinayak.

Mythology says, once Lord Shiva went to his trip to Maansarovar. Only Ganesh knew about his trip. All others were unknown. Even Nandi (Mahadev's vehicle, Basaaha) was unknown. Mischieviously, Ganesh sat on the Shiva's throne. When, Parvati came, she saw Ganesh sitting on Lord Shiva's place. Goddess Parvati asked Ganesh about Lord Shiva, he didn't say a word but kept smiling. She became worried and asked Nandi. He was unknown of the event either. The chaos came upon. Everyone became worried. They started searching here and there but they couldn't find him. Then there comes Ganesh's heroitic action. He said in loud voice, ""Everyone don't worry. I will bring my lost father back."" After that, he went Maansarovar and told all the story which had happened in the Kailash. Lord Shiva came back.
So it is said that the form of Ganesh which could even bring back Lord Shiva who was lost, how come he cannot bring back our lost objects.

That is why when we loose something we go there to offer Laddu or when we loose something, we take an oath, ""If I find ........, I shall offer Laddu to Chapat Ganesh"" and we find back the object, we have to offer laddu to that Ganesh.

By the above mythology it makes clear why there is an ox sitting infront of the Ganesh temple where there should have been an idol of Mouse.

Also there is a pond across a small street infront of this temple. In the middle of the pond there is an image of Lord Shiva, representing lord Shiva going to Maansarovar and in temple, Ganesh, sitting in the place of Lord Shiva.",2 years ago,0,https://www.google.com/maps/contrib/100403729516128172445/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjX3TPhleUdLDngOOwou8dU1Lm0zjS78Raq4WpEXLEBL8xcSEn82=w36-h36-p-rp-mo-ba3-br100,
2,Shakti Man Singh,Chapat Ganesh Mandir,5,"It is an ancient Ganesh Temple. It is believed that if some one loses some  valuable item, could  get them back by sincerely preying this God ""Chapat Ganesh"".",3 years ago,0,https://www.google.com/maps/contrib/109110062026406851223/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocKwG6dUMN_0mXP7fAU0MtXFOfWMbmbDA-AWC97voN_DnzV5Pok=w36-h36-p-rp-mo-ba4-br100,
3,Rupesh Maharjan,Chapat Ganesh Mandir,3,"This is not the exact location of chapat ganesh. The exact location is  near Taha Galli on Chapat road 27.671246, 85.328935",a year ago,1,https://www.google.com/maps/contrib/113628147108876034844/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUCjeNQMyF1r_Q8KDogLlVdVbbM3KaqhCCNK72XlhEMxizmb9a4=w36-h36-p-rp-mo-br100,
4,jagannath kandel,Chapat Ganesh Mandir,4,It is an old Ganesh Temple where people visit with a great devotion and it is believed to give back the lost properties or items back,5 years ago,3,https://www.google.com/maps/contrib/108104784512688282405/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWR9SYIDmhloF8SpV91fFBLzQn2DqnHG3xkW6-mYBTV1hid9M4=w36-h36-p-rp-mo-ba6-br100,
5,Anil Maharjan,Chapat Ganesh Mandir,5,"The holy place. Believe on this ganesh twmple, you can be lucky to get the lost things back.",5 years ago,1,https://www.google.com/maps/contrib/116947606029923755590/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocJ6OiSXAGRZhui4n8_Q65b5lLrSuEWCUTWRf6MTzpXd7QP2kw=w36-h36-p-rp-mo-ba4-br100,
6,Hahaha Hahaha,Chapat Ganesh Mandir,5,"Here is belief that If you lost something and pray here to offer something , the thing will find",3 years ago,0,https://www.google.com/maps/contrib/104045741931322982207/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjX3yQtvv82pyibFeXCncRDZr9m-63KM6TSH2hKm6ZX2rfxSScU=w36-h36-p-rp-mo-br100,
7,Adil Shahi,Chapat Ganesh Mandir,4,Nice place for pray and wishes.,a year ago,0,https://www.google.com/maps/contrib/108588113368974453524/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXa_l3LTTqcvL_kMQrke-2lzFAuzIcKLP7OWCSCKdgeQCurwUXQ=w36-h36-p-rp-mo-ba2-br100,
8,Nirojz Shakya,Chapat Ganesh Mandir,5,Believe to be found lost things,3 years ago,0,https://www.google.com/maps/contrib/110058455784383580148/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjVplC4MpR1m6jWiER3aW2bh2zLFH7XFuO_6RFw_nwLDpAGei6PP=w36-h36-p-rp-mo-br100,
9,Hestiabelle Zannillestel,Mayadevi Temple,4,"The Maya Devi Temple, located in Lumbini, Nepal, is a significant pilgrimage site for Buddhists. It is believed to be the birthplace of Siddhartha Gautama, who later became known as Buddha. The temple, which dates back to the 3rd century BC, is a simple structure featuring a sacred garden and a sacred pond. Inside the temple, a marker indicates the exact spot where Maya Devi is said to have given birth to the Buddha.

We went there with a big coach and we had to transfer to little bikes to help us go the the place and walk to the Maya Devi Temple!  when we went to into the building, it was having an upgrade so they were painting the inside and the smell of turpentine was so strong that it was so hard to breath! (No Photography inside only outside)

Overall a good experience there.",5 days ago,0,https://www.google.com/maps/contrib/102377571675151121112/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXl63tP7E-5SCsCG9Ef5CFPFhHAjSSg6ciknGDpgm7Ba7d4XTLg=w36-h36-p-rp-mo-ba4-br100,"https://lh5.googleusercontent.com/p/AF1QipOjA0sXlVI_NPdLARUUAbyKh157aPvKsjxkrOMi=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipN95WufYpOYyxEyCBVDSG5m706grU7njlv0s0un=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPeA6Jsp5TUAIITR1x0fga6_ET1G_eUGMZdTBfw=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO0yuYAD1dgooNmu9hDRtrl7b93WdJmg6RMANmy=w300-h225-p-k-no"
10,Ravindu Hasanka,Mayadevi Temple,5,"The Maya Devi Temple, located in Lumbini, Nepal, is a significant pilgrimage site for Buddhists. It is believed to be the birthplace of Siddhartha Gautama, who later became known as Buddha. The temple, which dates back to the 3rd century BC, is a simple structure featuring a sacred garden and a sacred pond. Inside the temple, a marker indicates the exact spot where Maya Devi is said to have given birth to the Buddha. The site is surrounded by lush greenery and attracts thousands of visitors and devotees each year, making it an important center for Buddhist spirituality and heritage.",3 months ago,0,https://www.google.com/maps/contrib/116192895017197257687/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjVwqxmUuFXPcA3Vr43jS2tx92euWt0_1QCPjXgr9rAe4dUYwFaM=w36-h36-p-rp-mo-ba4-br100,"https://lh5.googleusercontent.com/p/AF1QipNSSreVGCzi4QqkJ9XyID3fNU21xXDpQYTt9fQ5=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOTRTkUsJ9TXcbZAnGPcwz7Dn9D6c74RrD6KCtc=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipP7wWGf1C3C59RuDtuVGRgj2uS_Q6g3JqL3eBt4=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipN17cAVvwvnmmjpY51TTtN5_vd7E0u_fgegxZiS=w300-h225-p-k-no"
