id,name,address,latitude,longitude,rating,second_word,types
1514,Garden of Dreams,"P877+MR2, Tridevi Sadak, Kathmandu 44600, Nepal",27.7141261,85.3145041,4.2,Tridevi Sadak,"tourist_attraction, park, point_of_interest, establishment"
,Swayambhu Buddha Park - Ring Road,"Kathmandu 44600, Nepal",27.716145,85.2838866,4.5,Nepal,"park, tourist_attraction, point_of_interest, establishment"
,Narayanhiti Royal Palace,"Narayanhiti Path, Kathmandu 44600, Nepal",27.7148218,85.3180841,4.4,Kathmandu,"museum, point_of_interest, establishment"
,Kathmandu Guide,"Paknajol Marg, Kathmandu 44600, Nepal",27.7172237,85.3090963,4.0,Kathmandu,"tourist_attraction, museum, hindu_temple, travel_agency, place_of_worship, point_of_interest, establishment"
,Ratna Park,"रत्न पार्क पथ, Kathmandu 44600, Nepal",27.7060531,85.3148081,3.9,Kathmandu,"park, tourist_attraction, point_of_interest, establishment"
,छतिकोट दरबार-बाजुरा,"9845+9V3, Bajura 10600, Nepal",29.3558565,81.3096089,3.8,Bajura,"museum, point_of_interest, establishment"
,Nag Pokhari,"MCFM+M8H, Bhaktapur 44800, Nepal",27.6741945,85.4333464,4.1,Bhaktapur,"park, point_of_interest, establishment"
,National Art Museum,"MCCH+W55, Durbar square Durbar Square, Bhaktapur 44800, Nepal",27.6721934,85.4281506,4.2,Durbar square Durbar Square,"tourist_attraction, museum, point_of_interest, establishment"
,मयुर झ्याल,"MCFP+87C, Bhaktapur 44800, Nepal",27.6733036,85.4356439,4.7,Bhaktapur,"museum, point_of_interest, establishment"
,Bhaktapur Art Gallery,"MCCH+W55, Bhaktapur 44800, Nepal",27.6722594,85.4279759,4.6,Bhaktapur,"art_gallery, museum, point_of_interest, establishment"
,Wood Carving Museum,"MCFP+85P, Mako Galli, Bhaktapur 44800, Nepal",27.6733339,85.4353738,4.2,Mako Galli,"museum, point_of_interest, establishment"
,Kamal pokhari,"MCGQ+RHM, Kamal Pokhari Path, Bhaktapur 44800, Nepal",27.6768477,85.4384818,4.3,Kamal Pokhari Path,"park, point_of_interest, establishment"
,Elephant Breeding Center,"Baadreni Road Royal Chitwan NP., Bharatpur 44204, Nepal",27.5819444,84.4630556,4.1,Bharatpur,"tourist_attraction, park, food, point_of_interest, establishment"
,Shey Phoksundo National Park,"Suligad, Dolpa Suligad, 21400, Nepal",29.4532191,82.8013965,4.3,Dolpa Suligad,"tourist_attraction, park, point_of_interest, establishment"
,Gorkha Museum,"Rani Pokhari Maarga, Gorkha 34000, Nepal",27.9987262,84.6244287,4.4,Gorkha,"museum, tourist_attraction, point_of_interest, establishment"
,Gorkha Palace,"2J3H+QGF, Gorkha Bazar 34000, Nepal",28.0044263,84.6288075,4.5,Gorkha,"museum, point_of_interest, establishment"
,Bhaludhunga Religious Tourism Ecological Park,"WWG6+6P7, Ilam 57300, Nepal",26.9255355,87.9117984,4.2,Ilam,"park, point_of_interest, establishment"
,National Museum of Nepal,"Museum Marg, Kathmandu 44600, Nepal",27.7057922,85.2895261,4.3,Kathmandu,"tourist_attraction, museum, point_of_interest, establishment"
,Bhandarkhal Jungle,"P85R+VR4, Pashupati Nath Road, Kathmandu 44621, Nepal",27.7096468,85.3420728,4.2,Pashupati Nath Road,"park, tourist_attraction, point_of_interest, establishment"
,Bhrikuti Mandap Park,"P829+GF6, Pradarshani Marg, Kathmandu 44600, Nepal",27.701292,85.3186434,3.9,Pradarshani Marg,"park, tourist_attraction, point_of_interest, establishment"
,Kathmandu Fun Park,"Pradarshani Marg, Kathmandu 44600, Nepal",27.701377,85.3203981,4.0,Kathmandu,"amusement_park, tourist_attraction, park, point_of_interest, establishment"
