,id,name,address,latitude,longitude,rating,second_word,types,Description
0,1,Garden of Dreams,"P877+MR2, Tridevi Sadak, Kathmandu 44600, Nepal",27.7141261,85.3145041,4.2,Tridevi Sadak,"tourist_attraction, park, point_of_interest, establishment","The Garden of Dreams (Nepali:स्वप्न बगैंचा, Newar language : म्हगसया क्यब), also, the Garden of Six Seasons, is a neo-classical garden in Kaiser Mahal Kathmandu, Nepal, built in 1920. Designed by Kishore Narshingh, it consists of 6,895 square metres (74,220 sq ft) of gardens with three pavilions, an amphitheater, ponds, pergolas, and urns. From the mid-1960s, upon the death of its patron, Kaiser Sumsher Rana, it lay in neglect but was recently restored with the help of the Austrian government."
1,2,Swayambhu Buddha Park - Ring Road,"Kathmandu 44600, Nepal",27.716145,85.2838866,4.5,Nepal,"park, tourist_attraction, point_of_interest, establishment","Vesak (Pali: Vesākha; Sanskrit: vaiśākha), also known as Buddha Jayanti, Buddha Purnima, and Buddha Day, is a holiday traditionally observed by Buddhists in South Asia and Southeast Asia, as well as in Tibet and Mongolia. It is among the most important Buddhist festivals. The festival commemorates the birth, enlightenment (Pali: Nibbāna, Sanskrit: Nirvāṇa), and death (Parinirvāna) of Gautama Buddha in Theravada, Tibetan Buddhism, and Navayana."
2,3,Narayanhiti Royal Palace,"Narayanhiti Path, Kathmandu 44600, Nepal",27.7148218,85.3180841,4.4,Kathmandu 44600,"museum, point_of_interest, establishment","The Narayanhiti Palace Museum (Nepali: नारायणहिटी दरवार) is a public museum in Kathmandu, Nepal located east of the Kaiser Mahal and next to Thamel. The museum was created in 2008 from the complex of the former Narayanhiti Palace (or Narayanhiti Durbar) following the 2006 revolution. Before the revolution, the palace was the residence and principal workplace of the monarch of the Kingdom of Nepal, and hosted occasions of state."
3,4,Kathmandu Guide,"Paknajol Marg, Kathmandu 44600, Nepal",27.7172237,85.3090963,4.0,Kathmandu 44600,"tourist_attraction, museum, hindu_temple, travel_agency, place_of_worship, point_of_interest, establishment","The Kathmandu Valley (Nepali: काठमाडौं उपत्यका), also known as the Nepal Valley or Nepa Valley (Nepali: नेपाः उपत्यका, Nepal Bhasa: 𑐣𑐾𑐥𑐵𑑅 𑐐𑐵𑑅, नेपाः गाः), National Capital Area, is a bowl-shaped valley located in the Himalayan mountains of Nepal. It lies at the crossroads of ancient civilizations of the Indian subcontinent and the broader Asian continent, and has at least 130 important monuments, including several pilgrimage sites for Hindus and Buddhists. The valley holds seven World Heritage Sites within it."
4,15,Ratna Park,"रत्न पार्क पथ, Kathmandu 44600, Nepal",27.7060531,85.3148081,3.9,Kathmandu 44600,"park, tourist_attraction, point_of_interest, establishment","Ratna Park is a park and surrounding district in central Kathmandu, Nepal. It is named after Queen Ratna, the wife of King Mahendra. It was built for the children and is named after Ratna, the second queen of King Mahendra."
5,23,छतिकोट दरबार-बाजुरा,"9845+9V3, Bajura 10600, Nepal",29.3558565,81.3096089,3.8,Bajura 10600,"museum, point_of_interest, establishment",
6,24,Nag Pokhari,"MCFM+M8H, Bhaktapur 44800, Nepal",27.6741945,85.4333464,4.1,Bhaktapur 44800,"park, point_of_interest, establishment","Naag Pokhari (Nepali: नाग पोखरी) meaning snake's pond is a historic artificial pond located in the eastern side of the royal palace, Kathmandu.   The pond was constructed in the 17th century by Queen Subarna Prabha.  
The pond is 125 ft long, 65 ft wide and has a depth of about 7 ft."
7,25,National Art Museum,"MCCH+W55, Durbar square Durbar Square, Bhaktapur 44800, Nepal",27.6721934,85.4281506,4.2,Durbar square Durbar Square,"tourist_attraction, museum, point_of_interest, establishment",
8,26,मयुर झ्याल,"MCFP+87C, Bhaktapur 44800, Nepal",27.6733036,85.4356439,4.7,Bhaktapur 44800,"museum, point_of_interest, establishment",
9,27,Bhaktapur Art Gallery,"MCCH+W55, Bhaktapur 44800, Nepal",27.6722594,85.4279759,4.6,Bhaktapur 44800,"art_gallery, museum, point_of_interest, establishment","Bhaktapur (Nepali and Sanskrit: भक्तपुर, pronounced [ˈbʱʌkt̪ʌpur] ; lit. ""City of Devotees""), known locally as Khwopa (Nepal Bhasa: 𑐏𑑂𑐰𑐥𑑅‎, Khvapa) and historically called Bhadgaon, is a city in the east corner of the Kathmandu Valley in Nepal located about 13 kilometres (8.1 mi) from the capital city, Kathmandu. Bhaktapur is the smallest city of Nepal as well as the most densely populated."
