user_id,place_id,place_name,rating,types
1,,"The Lion Gate, Bhaktapur",3,
2,,"The Lion Gate, Bhaktapur",1,
3,,"The Lion Gate, Bhaktapur",5,
4,,"The Lion Gate, Bhaktapur",4,
5,,"The Lion Gate, Bhaktapur",5,
6,,"The Lion Gate, Bhaktapur",5,
7,,"The Lion Gate, Bhaktapur",5,
8,,"The Lion Gate, Bhaktapur",4,
9,6175.0,Taleju Temple,5, Religious Site
10,6175.0,Taleju Temple,5, Religious Site
11,6175.0,Taleju Temple,5, Religious Site
12,6175.0,Taleju Temple,5, Religious Site
13,6175.0,Taleju Temple,4, Religious Site
14,6175.0,Taleju Temple,5, Religious Site
15,6175.0,Taleju Temple,5, Religious Site
16,6175.0,Taleju Temple,5, Religious Site
17,6112.0,Dipankar Mahavihar,5,Heritage Site
18,6112.0,Dipankar Mahavihar,5,Heritage Site
19,6112.0,Dipankar Mahavihar,5,Heritage Site
20,6112.0,Dipankar Mahavihar,5,Heritage Site
21,6112.0,Dipankar Mahavihar,4,Heritage Site
22,6112.0,Dipankar Mahavihar,5,Heritage Site
23,6112.0,Dipankar Mahavihar,5,Heritage Site
24,6112.0,Dipankar Mahavihar,5,Heritage Site
25,,Uma Maheshwor temple,5,
26,,Uma Maheshwor temple,4,
27,,Uma Maheshwor temple,5,
16,,Uma Maheshwor temple,5,
28,,Uma Maheshwor temple,5,
29,,Uma Maheshwor temple,5,
30,,Uma Maheshwor temple,5,
31,,Uma Maheshwor temple,5,
32,6148.0,Nil Barahi Temple,2,Heritage Site
33,6148.0,Nil Barahi Temple,4,Heritage Site
34,6148.0,Nil Barahi Temple,5,Heritage Site
35,6148.0,Nil Barahi Temple,5,Heritage Site
36,6148.0,Nil Barahi Temple,5,Heritage Site
37,6148.0,Nil Barahi Temple,4,Heritage Site
38,6148.0,Nil Barahi Temple,5,Heritage Site
39,6148.0,Nil Barahi Temple,4,Heritage Site
16,6151.0,Siddhi Kali Temple,5,Heritage Site
40,6151.0,Siddhi Kali Temple,5,Heritage Site
41,6151.0,Siddhi Kali Temple,5,Heritage Site
42,6151.0,Siddhi Kali Temple,5,Heritage Site
43,6151.0,Siddhi Kali Temple,5,Heritage Site
44,6151.0,Siddhi Kali Temple,5,Heritage Site
45,6151.0,Siddhi Kali Temple,5,Heritage Site
46,6151.0,Siddhi Kali Temple,5,Heritage Site
47,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",1,Heritage Site
48,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",5,Heritage Site
49,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",5,Heritage Site
50,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",3,Heritage Site
51,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",3,Heritage Site
52,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",5,Heritage Site
53,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",5,Heritage Site
54,6169.0,"Brass and Bronze museum of Bhaktapur, Nepal",5,Heritage Site
16,6171.0,"Wood carving museum of Bhaktapur, Nepal",5,Heritage Site
55,6171.0,"Wood carving museum of Bhaktapur, Nepal",4,Heritage Site
56,6171.0,"Wood carving museum of Bhaktapur, Nepal",2,Heritage Site
57,6171.0,"Wood carving museum of Bhaktapur, Nepal",5,Heritage Site
58,6171.0,"Wood carving museum of Bhaktapur, Nepal",5,Heritage Site
59,6171.0,"Wood carving museum of Bhaktapur, Nepal",5,Heritage Site
60,6171.0,"Wood carving museum of Bhaktapur, Nepal",4,Heritage Site
51,6171.0,"Wood carving museum of Bhaktapur, Nepal",4,Heritage Site
16,6186.0,Balkumari Temple of Thimi,5,Heritage Site
61,6186.0,Balkumari Temple of Thimi,4,Heritage Site
62,6186.0,Balkumari Temple of Thimi,5,Heritage Site
63,6186.0,Balkumari Temple of Thimi,5,Heritage Site
64,6186.0,Balkumari Temple of Thimi,2,Heritage Site
65,6186.0,Balkumari Temple of Thimi,5,Heritage Site
66,6186.0,Balkumari Temple of Thimi,5,Heritage Site
67,6186.0,Balkumari Temple of Thimi,5,Heritage Site
68,8.0,National Art Museum,2,"tourist_attraction, museum, point_of_interest, establishment"
69,8.0,National Art Museum,4,"tourist_attraction, museum, point_of_interest, establishment"
70,8.0,National Art Museum,4,"tourist_attraction, museum, point_of_interest, establishment"
71,8.0,National Art Museum,5,"tourist_attraction, museum, point_of_interest, establishment"
72,8.0,National Art Museum,4,"tourist_attraction, museum, point_of_interest, establishment"
73,8.0,National Art Museum,4,"tourist_attraction, museum, point_of_interest, establishment"
74,8.0,National Art Museum,3,"tourist_attraction, museum, point_of_interest, establishment"
75,8.0,National Art Museum,5,"tourist_attraction, museum, point_of_interest, establishment"
76,6198.0,Chyasalin mandap,5,Heritage Site
77,6198.0,Chyasalin mandap,5,Heritage Site
78,6198.0,Chyasalin mandap,5,Heritage Site
7,6198.0,Chyasalin mandap,5,Heritage Site
79,6198.0,Chyasalin mandap,5,Heritage Site
80,6198.0,Chyasalin mandap,5,Heritage Site
16,6198.0,Chyasalin mandap,5,Heritage Site
81,6198.0,Chyasalin mandap,5,Heritage Site
82,6204.0,Taleju bell ( Tagoun Ghan),4,Heritage Site
83,6204.0,Taleju bell ( Tagoun Ghan),5,Heritage Site
84,6204.0,Taleju bell ( Tagoun Ghan),4,Heritage Site
85,6204.0,Taleju bell ( Tagoun Ghan),4,Heritage Site
86,6204.0,Taleju bell ( Tagoun Ghan),5,Heritage Site
87,6204.0,Taleju bell ( Tagoun Ghan),5,Heritage Site
88,6204.0,Taleju bell ( Tagoun Ghan),4,Heritage Site
89,6204.0,Taleju bell ( Tagoun Ghan),4,Heritage Site
90,,Changu Narayan temple,5,
91,,Changu Narayan temple,5,
92,,Changu Narayan temple,5,
93,,Changu Narayan temple,4,
94,,Changu Narayan temple,5,
95,,Changu Narayan temple,5,
96,,Changu Narayan temple,5,
97,,Changu Narayan temple,5,
78,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
7,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
98,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
99,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
100,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
101,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
102,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
103,6215.0,The most fascinating Statue of King Bhupatindra Malla,5,Heritage Site
104,6405.0,Nyatapola Temple,5, Religious Site
105,6405.0,Nyatapola Temple,5, Religious Site
106,6405.0,Nyatapola Temple,5, Religious Site
107,6405.0,Nyatapola Temple,5, Religious Site
108,6405.0,Nyatapola Temple,5, Religious Site
109,6405.0,Nyatapola Temple,5, Religious Site
110,6405.0,Nyatapola Temple,5, Religious Site
111,6405.0,Nyatapola Temple,5, Religious Site
25,6223.0,55 window palace,5,Heritage Site
112,6223.0,55 window palace,4,Heritage Site
113,6223.0,55 window palace,5,Heritage Site
114,6223.0,55 window palace,5,Heritage Site
115,6223.0,55 window palace,5,Heritage Site
116,6223.0,55 window palace,5,Heritage Site
117,6223.0,55 window palace,4,Heritage Site
16,6223.0,55 window palace,5,Heritage Site
118,6120.0,Davis Fall Pokhara,4, Natural Landmark
119,6120.0,Davis Fall Pokhara,4, Natural Landmark
120,6120.0,Davis Fall Pokhara,5, Natural Landmark
121,6120.0,Davis Fall Pokhara,4, Natural Landmark
122,6120.0,Davis Fall Pokhara,4, Natural Landmark
123,6120.0,Davis Fall Pokhara,4, Natural Landmark
124,6120.0,Davis Fall Pokhara,2, Natural Landmark
125,6120.0,Davis Fall Pokhara,5, Natural Landmark
126,6129.0,Hanuman Dhoka,5, Historical Ruins
127,6129.0,Hanuman Dhoka,5, Historical Ruins
128,6129.0,Hanuman Dhoka,3, Historical Ruins
129,6129.0,Hanuman Dhoka,4, Historical Ruins
130,6129.0,Hanuman Dhoka,5, Historical Ruins
131,6129.0,Hanuman Dhoka,5, Historical Ruins
132,6129.0,Hanuman Dhoka,5, Historical Ruins
