id,name,province,tags,province_Bagmati Province,province_Gandaki Province,province_Karnali Province,province_Koshi Province,province_Lumbini Province,province_Madhesh Province,province_Sudurpashchim Province,categories,categories,Cultural,Miscellaneous,Historical,Religious,Recreational,Adventure,Nature
1,Chapat Ganesh Mandir,Bagmati Province,"hindu, temple, pilgrimage",1,0,0,0,0,0,0,['Religious'],"[0, 0, 0, 1, 0, 0, 0]",0,0,0,1,0,0,0
2,Mayadevi Temple,Lumbini Province,"buddhist, pilgrimage",0,0,0,0,1,0,0,['Religious'],"[0, 0, 0, 1, 0, 0, 0]",0,0,0,1,0,0,0
3,Sikali Mandir,Bagmati Province,"hindu, temple, cultural",1,0,0,0,0,0,0,"['Cultural', 'Religious']","[1, 0, 0, 1, 0, 0, 0]",1,0,0,1,0,0,0
4,Bala Guru Sadananda,Koshi Province,"historical, monument",0,0,0,1,0,0,0,['Historical'],"[0, 0, 1, 0, 0, 0, 0]",0,0,1,0,0,0,0
5,21st Century Art Gallery,Bagmati Province,"art_gallery, museum, cultural",1,0,0,0,0,0,0,['Cultural'],"[1, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0
6,3D Art World - Interactive Museum,Bagmati Province,museum,1,0,0,0,0,0,0,['Cultural'],"[1, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0
7,Nyatapola Temple,Bagmati Province,"hindu, historical, cultural",1,0,0,0,0,0,0,"['Historical', 'Cultural', 'Religious']","[1, 0, 1, 1, 0, 0, 0]",1,0,1,1,0,0,0
8,50 Kilo,Bagmati Province,"natural beauty, landmark",1,0,0,0,0,0,0,"['Historical', 'Nature']","[0, 0, 1, 0, 0, 0, 1]",0,0,1,0,0,0,1
9,52 Bigha,Madhesh Province,"historical, landmark",0,0,0,0,0,1,0,['Historical'],"[0, 0, 1, 0, 0, 0, 0]",0,0,1,0,0,0,0
10,55-Window Palace,Bagmati Province,"historical, palace",1,0,0,0,0,0,0,['Historical'],"[0, 0, 1, 0, 0, 0, 0]",0,0,1,0,0,0,0
11,Seventh-day Adventist Church,Koshi Province,"religious, cultural",0,0,0,1,0,0,0,"['Cultural', 'Religious']","[1, 0, 0, 1, 0, 0, 0]",1,0,0,1,0,0,0
12,A P Mount Framing Gallery,Lumbini Province,art_gallery,0,0,0,0,1,0,0,['Cultural'],"[1, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0
13,A.G Stuti Church,Sudurpashchim Province,religious,0,0,0,0,0,0,1,['Religious'],"[0, 0, 0, 1, 0, 0, 0]",0,0,0,1,0,0,0
14,Adventure Art Gallery,Bagmati Province,"art_gallery, museum",1,0,0,0,0,0,0,['Cultural'],"[1, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0
15,Agleswer Mahadev Temple,Bagmati Province,"hindu_temple,pilgrimage",1,0,0,0,0,0,0,['Religious'],"[0, 0, 0, 1, 0, 0, 0]",0,0,0,1,0,0,0
16,Anugrah Church,Sudurpashchim Province,"religious,cultural",0,0,0,0,0,0,1,"['Cultural', 'Religious']","[1, 0, 0, 1, 0, 0, 0]",1,0,0,1,0,0,0
17,AS Handicrafts & Art Gallery,Bagmati Province,"art_gallery,cultural,museum",1,0,0,0,0,0,0,['Cultural'],"[1, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0
18,Auri Bazar,Lumbini Province,"historical,cultural,tourist spot",0,0,0,0,1,0,0,"['Miscellaneous', 'Historical', 'Cultural']","[1, 1, 1, 0, 0, 0, 0]",1,1,1,0,0,0,0
19,Aadeshwar Mahadev Temple,Bagmati Province,"hindu_temple,pilgrimage,historical beauty",1,0,0,0,0,0,0,"['Historical', 'Religious']","[0, 0, 1, 1, 0, 0, 0]",0,0,1,1,0,0,0
20,Aadipadma Mahavihar,Bagmati Province,"historical,cultural,buddhist monastery",1,0,0,0,0,0,0,"['Historical', 'Cultural']","[1, 0, 1, 0, 0, 0, 0]",1,0,1,0,0,0,0
21,Aahalbhanjyang,Koshi Province,"natural beauty,hills,village life",0,0,0,1,0,0,0,"['Cultural', 'Nature']","[1, 0, 0, 0, 0, 0, 1]",1,0,0,0,0,0,1
22,Aaidungra,Sudurpashchim Province,"tourist attraction,natural beauty,hiking spot",0,0,0,0,0,0,1,"['Miscellaneous', 'Adventure', 'Nature']","[0, 1, 0, 0, 0, 1, 1]",0,1,0,0,0,1,1
23,Aakash Bhairab Mandir,Bagmati Province,"hindu_temple,pilgrimage,cultural significance",1,0,0,0,0,0,0,"['Cultural', 'Religious']","[1, 0, 0, 1, 0, 0, 0]",1,0,0,1,0,0,0
24,Aale Hadish Masjid,Lumbini Province,"muslim,religious,mosque,cultural site",0,0,0,0,1,0,0,"['Cultural', 'Religious']","[1, 0, 0, 1, 0, 0, 0]",1,0,0,1,0,0,0
25,Aane Kuwa,Koshi Province,amusement_park,0,0,0,1,0,0,0,['Recreational'],"[0, 0, 0, 0, 1, 0, 0]",0,0,0,0,1,0,0
26,Ankawa Dam,Madhesh Province,"dam, natural beauty, trekking",0,0,0,0,0,1,0,"['Adventure', 'Nature']","[0, 0, 0, 0, 0, 1, 1]",0,0,0,0,0,1,1
