name,URL
"Chakhewa,Bhojpur","https://www.google.com/maps/place/%E0%A4%9A%E0%A4%96%E0%A5%87%E0%A4%B5%E0%A4%BE+CHAKHEWA/@27.6724917,85.3943311,14z/data=!4m8!3m7!1s0x39e8d51572f37101:0xc58f01c9cd4c445e!8m2!3d27.1997846!4d86.9280252!9m1!1b1!16s%2Fg%2F11gxfvm0zj?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Pangboche Monastery,"https://www.google.com/maps/place/%E0%A4%AA%E0%A4%BE%E0%A4%99%E0%A5%8D%E0%A4%AC%E0%A5%8B%E0%A4%9A%E0%A5%87+%E0%A4%AC%E0%A5%8C%E0%A4%A6%E0%A5%8D%E0%A4%A7+%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0/@27.67037,85.3868544,15z/data=!4m8!3m7!1s0x39e907f538bd9ef9:0xb763240b150244f5!8m2!3d27.85697!4d86.7885988!9m1!1b1!16s%2Fg%2F11hdnp8d65?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Yalamber Chowk,"https://www.google.com/maps/place/%E0%A4%AF%E0%A4%B2%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A4%B0+%E0%A4%9A%E0%A5%8B%E0%A4%95+Yalamber+Chowk/@27.67037,85.3868544,15z/data=!4m8!3m7!1s0x39e58f5053817461:0x2472283f41afa226!8m2!3d26.6648816!4d87.6926156!9m1!1b1!16s%2Fg%2F11m_bqsgx7?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Balaguru Shivalaya Dham,"https://www.google.com/maps/place/%E0%A4%B6%E0%A4%BF%E0%A4%B5+%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%BF%E0%A4%B0+%E0%A4%B8%E0%A4%BE%E0%A4%81%E0%A4%97%E0%A4%BE+Shiva+Temple+Sanga/@27.67037,85.3868544,15z/data=!4m8!3m7!1s0x39eb0f11b24b192f:0xfe85af470725b16f!8m2!3d27.6461686!4d85.4741984!9m1!1b1!16s%2Fg%2F11trmmxy6m?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
21st Century Art Gallery,"https://www.google.com/maps/place/21st+century+art+gallery/@27.7156283,85.3069289,17z/data=!4m8!3m7!1s0x39eb18fcbeca2c35:0xdb9e3c7c23d14547!8m2!3d27.7156283!4d85.3095092!9m1!1b1!16s%2Fg%2F11h0_j_wv?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
3D Art World - Interactive Museum,"https://www.google.com/maps/place/3D+Art+World+-+Interactive+Museum/@27.6510185,85.3415338,17z/data=!3m1!4b1!4m6!3m5!1s0x39eb17568d97c0b1:0x356c545c2282408b!8m2!3d27.6510185!4d85.3441141!16s%2Fg%2F11j6qr24ff?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
55-Window Palace,"https://www.google.com/maps/place/55+Window+Palace/@27.6721559,85.4259981,17z/data=!4m7!3m6!1s0x39eb1aafbe31d80b:0xf020d0bdb5f6687a!8m2!3d27.6721559!4d85.4285784!10e8!16s%2Fg%2F11c1t5d7nh?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Aadeshwar Mahadev Temple,"https://www.google.com/maps/place/Aadeshwar+Mahadev+Temple/@27.7227054,85.2683553,17z/data=!4m8!3m7!1s0x39eb2275c01c7d03:0xf24a3d3493fdf416!8m2!3d27.7227054!4d85.2709356!9m1!1b1!16s%2Fg%2F12q4r365f?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Aapchour Picnic Spot,"https://www.google.com/maps/place/Aapchour+Picnic+Spot/@27.6907095,84.2321345,17z/data=!4m8!3m7!1s0x3994576bbf030be7:0x77c9cc9718ec1c99!8m2!3d27.6907095!4d84.2347148!9m1!1b1!16s%2Fg%2F11fk40rh4n?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Aauridada Picnic Spot,"https://www.google.com/maps/place/Aauridada+picnic+spot/@28.1629646,83.6271951,17z/data=!4m8!3m7!1s0x3995e1002c175c6d:0xb99e9d51e59497a5!8m2!3d28.1629646!4d83.6297754!9m1!1b1!16s%2Fg%2F11y36h5mw_?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
