name,URL
"Chakhewa,Bhojpur","https://www.google.com/maps/place/%E0%A4%9A%E0%A4%96%E0%A5%87%E0%A4%B5%E0%A4%BE+CHAKHEWA/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39e8d51572f37101:0xc58f01c9cd4c445e!8m2!3d27.1997846!4d86.9280252!10e1!16s%2Fg%2F11gxfvm0zj?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Yalamber Chowk,"https://www.google.com/maps/place/%E0%A4%AF%E0%A4%B2%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A4%B0+%E0%A4%9A%E0%A5%8B%E0%A4%95+Yalamber+Chowk/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39e58f5053817461:0x2472283f41afa226!8m2!3d26.6648816!4d87.6926156!10e1!16s%2Fg%2F11m_bqsgx7?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
21st Century Art Gallery,"https://www.google.com/maps/place/21st+century+art+gallery/@27.7156283,85.3069289,17z/data=!3m1!4b1!4m6!3m5!1s0x39eb18fcbeca2c35:0xdb9e3c7c23d14547!8m2!3d27.7156283!4d85.3095092!16s%2Fg%2F11h0_j_wv?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
3D Art World - Interactive Museum,"https://www.google.com/maps/place/3D+Art+World+-+Interactive+Museum/@27.6510185,85.3415338,17z/data=!3m1!4b1!4m6!3m5!1s0x39eb17568d97c0b1:0x356c545c2282408b!8m2!3d27.6510185!4d85.3441141!16s%2Fg%2F11j6qr24ff?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
55-Window Palace,"https://www.google.com/maps/place/55+Window+Palace/@27.6721559,85.4259981,17z/data=!4m7!3m6!1s0x39eb1aafbe31d80b:0xf020d0bdb5f6687a!8m2!3d27.6721559!4d85.4285784!10e1!16s%2Fg%2F11c1t5d7nh?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Aadeshwar Mahadev Temple,"https://www.google.com/maps/place/Aadeshwar+Mahadev+Temple/@27.7227054,85.2683553,17z/data=!4m7!3m6!1s0x39eb2275c01c7d03:0xf24a3d3493fdf416!8m2!3d27.7227054!4d85.2709356!10e1!16s%2Fg%2F12q4r365f?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Adventure Art Gallery,"https://www.google.com/maps/place/ADVENTURE+ART+GALLERY/@27.6740784,85.3226898,17z/data=!4m7!3m6!1s0x39eb19c5a29f7725:0x1aa7952607b8c0e1!8m2!3d27.6740784!4d85.3252701!10e1!16s%2Fg%2F11b6gg3fp5?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Aesamari Sattal of Taumadhi Square,"https://www.google.com/maps/place/Aesamari+Sattal/@27.67092,85.4265252,17z/data=!3m1!4b1!4m6!3m5!1s0x39eb1b82088c9995:0xc5a3ca48f6d867c8!8m2!3d27.67092!4d85.4291055!16s%2Fg%2F11rfdvylxd?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Agnishala Temple,"https://www.google.com/maps/place/Agnishaal/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb19cfacbeef2d:0x556e39187761278a!8m2!3d27.6725803!4d85.3213356!10e1!16s%2Fg%2F11cn3ddkg1?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Airport Nagar Children’s Park,"https://www.google.com/maps/place/Airport+Nagar+Children%E2%80%99s+Park/@27.6724989,85.3859509,15z/data=!4m6!3m5!1s0x39eb1b7d68e9cbab:0x4f48c203a59b4374!8m2!3d27.7024696!4d85.3660836!16s%2Fg%2F11qnfvqrgq?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Ajirkot Hill,"https://www.google.com/maps/place/Ajirkot+hill./@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39953f5b3e599631:0xe81993e39a24a135!8m2!3d28.1499469!4d84.6392626!10e1!16s%2Fg%2F11lsnxz1j6?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Akmal Mahira,"https://www.google.com/maps/place/Akmal+mahira/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39e581007a5e429d:0x5240242227ef8ea5!8m2!3d26.4493922!4d87.5787801!10e1!16s%2Fg%2F11wg4nwywj?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Amaare Chautara,"https://www.google.com/maps/place/Amaare+chautara+-(%E0%A4%85%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%87+%E0%A4%9A%E0%A5%8C%E0%A4%A4%E0%A4%BE%E0%A4%B0%E0%A4%BE+)/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x399531c044bc4101:0x75d684387cf00da9!8m2!3d28.0824268!4d84.7886238!10e1!16s%2Fg%2F11s43xttq6?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Amaragadhi Park,"https://www.google.com/maps/place/Amaragadhi+Park,+Dadeldhura/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39a16f044d622375:0xad3d4e4fd4b21f2a!8m2!3d29.2922668!4d80.5983538!10e1!16s%2Fg%2F11qg9r2pkn?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Ancient Nepal Art Gallery,"https://www.google.com/maps/place/Ancient+Nepal+Art+Gallery/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb198545493fa9:0xe66aaac39611d199!8m2!3d27.7148277!4d85.3084074!10e1!16s%2Fg%2F11ty5yc1xh?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Ancient Purenwa (Bilash Kunj Durbar),"https://www.google.com/maps/place/Ancient+Purenwa+(Bilash+kunj+Durbar)/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39ec95146b395eb3:0x8ea2228b746d152b!8m2!3d26.77626!4d85.2823994!10e1!16s%2Fg%2F11j5396ht6?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Anikesh Gorkhali Dada,"https://www.google.com/maps/place/Anikesh+Gorkhali+dada/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39952bd8079873cb:0x996e8bae32135fb!8m2!3d27.8871306!4d84.9146211!10e1!16s%2Fg%2F11qpwzldqk?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Animal Shelter Park,"https://www.google.com/maps/place/Animal+Shelter+Park/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x3994e500175f6417:0x4d8a2a23beb81521!8m2!3d27.6581222!4d84.4890337!10e1!16s%2Fg%2F11y58w0nm1?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Annapurna Skate Park,"https://www.google.com/maps/place/Annapurna+Skate+Park/@28.2026368,83.9851711,17z/data=!3m1!4b1!4m6!3m5!1s0x399595b0983a6dfb:0xe52aeb2303d864c3!8m2!3d28.2026368!4d83.9877514!16s%2Fg%2F11dyqv9ygj?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Anugrah Pabitra Church,"https://www.google.com/maps/place/Anugrah+Pabitra+Church+(+%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A4%B9+%E0%A4%AA%E0%A4%B5%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%B0+%E0%A4%9A%E0%A4%B0%E0%A5%8D%E0%A4%9A+)+-+Biblical+Church+at+Nawalparasi/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x3994f9a928db2323:0x96a651d3a920e4fb!8m2!3d27.697503!4d84.3072928!10e1!16s%2Fg%2F11pps334wp?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Anush Art Gallery,"https://www.google.com/maps/place/Anush+Art+Gallery/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb19c584234385:0x8f89b4ad3dbc1373!8m2!3d27.713323!4d85.311124!10e1!16s%2Fg%2F11t3150bx1?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Anutha Mahato Memorial Trust,"https://www.google.com/maps/place/Anutha+Mahato+Memorial+Trust/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39ec97c3b05b5a25:0x391b67b70bdaa8b3!8m2!3d26.8382758!4d85.3195266!10e1!16s%2Fg%2F11p10fbzxg?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Api Base Camp,"https://www.google.com/maps/place/Api+Base+Camp(South),Darchula/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39a4052c72a6d901:0x769cae1b2debdf5!8m2!3d29.9694341!4d80.9381723!10e1!16s%2Fg%2F11rv1jrj2j?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Araniko Newa And Traditional Arts,"https://www.google.com/maps/place/Araniko+Newa+And+Traditional+Arts/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb193b47e3281d:0x1e150a2f37b5a99b!8m2!3d27.6738104!4d85.3249269!10e1!16s%2Fg%2F11fhlxby5m?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
ArTree Nepal,"https://www.google.com/maps/place/ArTree+Nepal/@27.6949238,85.3103765,17z/data=!3m1!4b1!4m6!3m5!1s0x39eb1852b80039e5:0x2285db3eef903e8d!8m2!3d27.6949238!4d85.3129568!16s%2Fg%2F11dxh_xzkx?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Artudio,"https://www.google.com/maps/place/Artudio/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb191bfcd8481b:0x65b44c321cc4be07!8m2!3d27.7116145!4d85.2897088!10e1!16s%2Fg%2F11h1lh6fw?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Aryal Batikaa,"https://www.google.com/maps/place/Aryal+Batikaa/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x399863b6032df9e7:0xb166e824b4fc206e!8m2!3d28.1542051!4d81.5205865!10e1!16s%2Fg%2F11hst48tc9?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Atelier 2 Fine Art Gallery,"https://www.google.com/maps/place/Atelier+2+Fine+Art+Gallery/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb196911b8ba57:0x53bee40b0c4b4f31!8m2!3d27.7090434!4d85.2958004!10e1!16s%2Fg%2F11j99jdt4w?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Aviation Museum,"https://www.google.com/maps/place/Aviation+Museum/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb19886966f9d5:0x59be38f46266d4a3!8m2!3d27.6938346!4d85.3538645!10e1!16s%2Fg%2F11f57gsx6c?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
B.P Park Ilam,"https://www.google.com/maps/place/B.+P.+Park/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39e5c38e4d2ebbb1:0x782c74c7570a6d5d!8m2!3d26.908232!4d87.9253824!10e1!16s%2Fg%2F11c30_tgmc?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
BP Smriti Pratikshalaya,"https://www.google.com/maps/place/B.P+Smriti+Hospital./@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb193b0462b925:0xded638f79a26fb2e!8m2!3d27.7373743!4d85.3260721!10e1!16s%2Fg%2F11g873pqkc?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Baala Falls,"https://www.google.com/maps/place/Baala+Falls+-+Bardev,+Konjyosom/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb13e019371785:0x19f6a7a0d9f5b47c!8m2!3d27.5574441!4d85.4239543!10e1!16s%2Fg%2F11s8g180dg?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Bachha and Buddha Park,"https://www.google.com/maps/place/Bachha+and+Buddha+Park/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb399e2d346781:0x77b1168e121cf57d!8m2!3d27.5265829!4d85.1360942!10e1!16s%2Fg%2F11fpp3rdyz?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Bageshwori Nagarkot Suspension Bridge,"https://www.google.com/maps/place/Bageshwori+Nagarkot+Suspension+Bridge(%E0%A4%AC%E0%A4%BE%E0%A4%97%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0%E0%A5%80+%E0%A4%A8%E0%A4%97%E0%A4%B0%E0%A4%95%E0%A5%8B%E0%A4%9F+%E0%A4%9D%E0%A5%8B%E0%A4%B2%E0%A5%81%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A5%87+%E0%A4%AA%E0%A5%81%E0%A4%B2)/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb053c7e802d77:0xcbdecf464c010cb!8m2!3d27.7063484!4d85.4837236!10e1!16s%2Fg%2F11kpknvthz?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Bagmati Nagar Park,"https://www.google.com/maps/place/Bagmati+Nagar+Park/@27.714826,85.3572367,17z/data=!3m1!4b1!4m6!3m5!1s0x39eb1b54491de93b:0x7c591535e7eea986!8m2!3d27.714826!4d85.359817!16s%2Fg%2F11t4wqgvf9?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Bajrabarahi Park,"https://www.google.com/maps/place/Bajrabarahi+Park/@27.6074356,85.3306449,17z/data=!4m7!3m6!1s0x39eb171db229911d:0x26a576e59f16e5c1!8m2!3d27.6074356!4d85.3332252!10e1!16s%2Fg%2F11gjp7qf0p?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Bakaiya Temple,"https://www.google.com/maps/place/Bakaiya+Temple+(%E0%A4%AC%E0%A4%95%E0%A5%88%E0%A4%AF%E0%A4%BE+%E0%A4%A0%E0%A4%BE%E0%A4%95%E0%A5%81%E0%A4%B0+%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%80%E0%A4%B0)/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb6b34783dd751:0x87d60d8fff17fefd!8m2!3d27.412606!4d85.3359718!10e1!16s%2Fg%2F11vl6t8ljq?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Balaju Park,"https://www.google.com/maps/place/Balaju+Park/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb18c362d85971:0xb7cc632a3f5baa20!8m2!3d27.7338465!4d85.3011804!10e1!16s%2Fg%2F1w0h5y5y?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Balaute Bhanjyang,"https://www.google.com/maps/place/Balaute+Bhanjyang/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39e8d90061b3ac65:0x91020476b74af4dc!8m2!3d27.3432608!4d86.9512359!10e1!16s%2Fg%2F11wt__jvtd?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Balbahadur Statue,"https://www.google.com/maps/place/Balbahadur+statue/@27.3051782,86.5043722,17z/data=!4m7!3m6!1s0x39e9495f596d5b59:0x1c4af4439d47c196!8m2!3d27.3051782!4d86.5069525!10e1!16s%2Fg%2F11j9hlh00r?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
Balkumari Temple of Thimi,"https://www.google.com/maps/place/Balkumari+Temple/@27.6724989,85.3859509,15z/data=!4m7!3m6!1s0x39eb1a6f705f59db:0x49d07a6a1874d353!8m2!3d27.6758251!4d85.3853204!10e1!16s%2Fg%2F1tcyq7hg?hl=en&entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D"
