user_id,user_name,place_name,rating,review_text,date,likes_count,reviewer_link,reviewer_image,photos
1,Aurovrata Venet,"The Lion Gate, Bhaktapur",3,"The golden gate has character but the inner temple is devoid of soul.
The authorities insistance on only allowing Hindus is ludicrous as the inner temple is totally abandoned and one can feel no social vibration in it.
Such dogmatism only brings more degradation and destruction",5 years ago,2,https://www.google.com/maps/contrib/110911419993609836816/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjX0y-Uv21XA-RVFgL4IwZ1w8OQazFJDPdxucbnLmTSWmPZdPGSz=w36-h36-p-rp-mo-br100,"https://lh5.googleusercontent.com/p/AF1QipMvbanyAl4yctVBNlC9heEisYbSOHMHwUlq7CEt=w300-h450-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPStpke6s3-ZBKNE_1ZekcDWrGiCBfCtH2u0JQp=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO1wPLKu9goEtwCBnLwkWRXEeoE8vD5hffZFSj1=w300-h225-p-k-no"
2,Dylan Lazzaroni,"The Lion Gate, Bhaktapur",1,My Experience here was absolutely disgusting. The worst case on animal abuse that I have ever seen in my life. Two men were herding approximately 6 young goats and a buffalo calf into the Hindu temple(for sacrifice I’m assuming)The men were literally beating the animals to the point that one of the goats couldn’t even stand up.,8 months ago,0,https://www.google.com/maps/contrib/105715104699524486112/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocJxvKhh0mvNrgOuMpcPajVuTyFnhcNHHYLT2R1BTnq5Ab1nGA=w36-h36-p-rp-mo-br100,
3,Umakant Mishra,"The Lion Gate, Bhaktapur",5,one of the most interesting places in bhaktapur durbar square.. every temple and structure in durbar square is interesting and must visit.,3 years ago,1,https://www.google.com/maps/contrib/110685561721919319103/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXC353_KXw4w8tKxENFIOB_sgxJZiEF_AJ6LHG44QGAJBqpjrs=w36-h36-p-rp-mo-ba7-br100,"https://lh5.googleusercontent.com/p/AF1QipMh1vfJjYpprCvHG6QdbQuNCmcrNHMuEVYi1wQ=w300-h450-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOKE6LFR8apUwjFYRfiGZRluUJ5LcyxkB8gnNs=w300-h450-p-k-no"
4,Sanjiv Jaiswal,"The Lion Gate, Bhaktapur",4,The Golden Gate of Bhaktapur which opens to the 55 Windows Palace.,a year ago,1,https://www.google.com/maps/contrib/104350450688463566468/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocIuXxE3C5MBq97KYU99u_y6mq8sTPW1YKJz6Sie9acWHuo0wbI=w36-h36-p-rp-mo-ba4-br100,"https://lh5.googleusercontent.com/p/AF1QipNAdteyNOA-Uk_-cH-Oj0pGKIVSVRosIx0EK0F3=w300-h450-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOJsS-1GotETgPLaGELiZmb99ZE8T7Y-7q2LTwb=w300-h450-p-k-no"
5,Traveller Nepal,"The Lion Gate, Bhaktapur",5,Beautifully crafted door entrance of Taleju Mandir.,2 years ago,22,https://www.google.com/maps/contrib/113036166607047032018/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXI0PVZhBOoXrDSVqIPZMYcrUEaqoC_wM_6j0Swf5734HFzlbU=w36-h36-p-rp-mo-ba6-br100,https://lh5.googleusercontent.com/p/AF1QipPLbKp-kvcKxJMuavTXKAaKwEY0X79Jcq-Ntf8=w600-h450-p-k-no
6,Anish Luitel (Anish Luitel),"The Lion Gate, Bhaktapur",5,"The ancient city Bhaktapur lies on the Eastern part of Kathmandu valley which is also known as Bhadgaon or Khwopa, Bhaktapur. It is regarded as the abode of traditional Nepali culture, custom and unique arts of wooden and potteries. The historical monument on around signifies medieval age culture and tradition of Nepal and this old city is inhabited by indigenous Newari people in large group. The main attractive monuments are Nyatapola Temple, statue of King Bhupatindra Malla, Peacock Window, Golden Gate and fifty-five windowed palace of Bhaktapur Durbar Square.
The Golden Gate is said to be the most beautiful and richly molded specimen of its kind in the entire world. The door is surmounted by a figure of the Hindu goddess Kali and Garuda (mythical griffin) and attended by two heavenly nymphs. It is embellished with monsters and other Hindu mythical creatures of marvelous intricacy. Percy Brown, an eminent English art critic and historian, described the Golden Gate as ""the most lovely piece of art in the whole Kingdom; it is placed like a jewel, flashing innumerable facets in the handsome setting of its surroundings."" The gate was erected by King Ranjit Malla and is the entrance to the main courtyard of the palace of fifty-five windows.",7 years ago,5,https://www.google.com/maps/contrib/111179504665465216827/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjW0GnK_toB8hITozbf-qEoAhzuuLM7YCw3zBRvbSgDsDWj8MZLM=w36-h36-p-rp-mo-ba6-br100,
7,Anik Maity,"The Lion Gate, Bhaktapur",5,Lu Dhowka (The Golden Gate) is said to be the most beautiful and richly molded specimen of its kind in the entire world. The door is surmounted by a figure of the Hindu goddess Kali and Garuda (mythical griffin) and attended by two heavenly nymphs. It is embellished with monsters and other Hindu mythical creatures of marvelous intricacy. The gate was erected by King Ranjit Malla and is the entrance to the main courtyard of the palace of fifty-five windows.,6 years ago,0,https://www.google.com/maps/contrib/104165472536415770700/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjV3qb59ftUHjGGC8Ho4QfEUX3wKwU_K1tvxdMg8rYdIaWoE0CeG3g=w36-h36-p-rp-mo-ba6-br100,
8,Gelu Sherpa,"The Lion Gate, Bhaktapur",4,"Nice place to visit at Bhaktapur, Golden Gate is one of the very interesting and historic site. Inside the Golden Gate one can see the pond of former king and queen.",5 years ago,0,https://www.google.com/maps/contrib/116797148980900599760/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXOOqbWxLFr4-LgYJHgLckNp04rAW4_hOk_XdNsWLOMRXXNWCaM-g=w36-h36-p-rp-mo-ba3-br100,
9,Shekhar Bhakta Malla,Taleju Temple,5,"This is a Hindu Temple, dedicated to the Goddess Taleju Bhawani. This temple is open to the public during the last few days of Dashain ( Vijaya Dashami). This temple is artistically very beautiful. It is decorated with wooden handcrafted arts and artefacts. It showcases pure Newari Culture and Tradition. It is really a beautiful temple which carries the history of the Kathmandu Valley. It was built and decorated with handcrafted materials.",7 months ago,0,https://www.google.com/maps/contrib/112821136735343980176/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocI_2-HVDa6qmlQnhHpHPV24DvOkCs4wlEYKijr24WFt8TsOUg=w36-h36-p-rp-mo-ba6-br100,"https://lh5.googleusercontent.com/p/AF1QipPT833DPiE-bfKNTdioAH8TCn7cygVsJeYxmPtd=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPVDLCPj4jWJE0AEgPxbHXR5EYWxBlB9_a3PTrv=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNB45Kb2ojPvJfkRe4RPH1KXvuuTo3ulUwIOqIe=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMMay2ybzYc5NitNQcD4Fo_A8GOOabwC42BsK-T=w300-h225-p-k-no"
10,Gunnar Caya,Taleju Temple,5,"Unless you come when the temple is open in that one brief period each year during Dashain, you're only going to be able to see this place from outside its walls. But that kind of adds to the mystique of this old temple. I think it is worth visiting no matter the time of year",6 months ago,0,https://www.google.com/maps/contrib/104163309905639232697/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUByF3wt47G26x7lSn67jPpKAyxZmHE5lwx3YLFn0elQaGZB1w=w36-h36-p-rp-mo-ba6-br100,https://lh5.googleusercontent.com/p/AF1QipPG95kjq_MVOhLAooZtfrl9V98HDtokqZQF80gd=w600-h450-p-k-no
