user_id,place_id,rating,name_user,name_places
9,4141,5,Taleju Temple,Taleju Temple
10,4141,5,Taleju Temple,Taleju Temple
11,4141,5,Taleju Temple,Taleju Temple
12,4141,5,Taleju Temple,Taleju Temple
13,4141,4,Taleju Temple,Taleju Temple
14,4141,5,Taleju Temple,Taleju Temple
15,4141,5,Taleju Temple,Taleju Temple
16,4141,5,Taleju Temple,Taleju Temple
17,1132,5,Dipankar Mahavihar,Dipankar Mahavihar
18,1132,5,Dipankar Mahavihar,Dipankar Mahavihar
19,1132,5,Dipankar Mahavihar,Dipankar Mahavihar
20,1132,5,Dipankar Mahavihar,Dipankar Mahavihar
21,1132,4,Dipankar Mahavihar,Dipankar Mahavihar
22,1132,5,Dipankar Mahavihar,Dipankar Mahavihar
23,1132,5,Dipankar Mahavihar,Dipankar Mahavihar
24,1132,5,Dipankar Mahavihar,Dipankar Mahavihar
25,4395,5,Uma Maheshwor temple,Uma Maheshwor Temple
26,4395,4,Uma Maheshwor temple,Uma Maheshwor Temple
27,4395,5,Uma Maheshwor temple,Uma Maheshwor Temple
16,4395,5,Uma Maheshwor temple,Uma Maheshwor Temple
28,4395,5,Uma Maheshwor temple,Uma Maheshwor Temple
29,4395,5,Uma Maheshwor temple,Uma Maheshwor Temple
30,4395,5,Uma Maheshwor temple,Uma Maheshwor Temple
31,4395,5,Uma Maheshwor temple,Uma Maheshwor Temple
32,2938,2,Nil Barahi Temple,Nil Barahi Temple
33,2938,4,Nil Barahi Temple,Nil Barahi Temple
34,2938,5,Nil Barahi Temple,Nil Barahi Temple
35,2938,5,Nil Barahi Temple,Nil Barahi Temple
36,2938,5,Nil Barahi Temple,Nil Barahi Temple
37,2938,4,Nil Barahi Temple,Nil Barahi Temple
38,2938,5,Nil Barahi Temple,Nil Barahi Temple
39,2938,4,Nil Barahi Temple,Nil Barahi Temple
16,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
40,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
41,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
42,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
43,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
44,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
45,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
46,3879,5,Siddhi Kali Temple,Siddhi Kali Temple
47,689,1,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
48,689,5,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
49,689,5,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
50,689,3,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
51,689,3,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
52,689,5,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
53,689,5,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
54,689,5,"Brass and Bronze museum of Bhaktapur, Nepal",Brass and Bronze Museum
16,4481,5,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
55,4481,4,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
56,4481,2,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
57,4481,5,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
58,4481,5,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
59,4481,5,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
60,4481,4,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
51,4481,4,"Wood carving museum of Bhaktapur, Nepal",Wood Carving Museum
16,363,5,Balkumari Temple of Thimi,Balkumari Temple
61,363,4,Balkumari Temple of Thimi,Balkumari Temple
62,363,5,Balkumari Temple of Thimi,Balkumari Temple
63,363,5,Balkumari Temple of Thimi,Balkumari Temple
64,363,2,Balkumari Temple of Thimi,Balkumari Temple
65,363,5,Balkumari Temple of Thimi,Balkumari Temple
66,363,5,Balkumari Temple of Thimi,Balkumari Temple
67,363,5,Balkumari Temple of Thimi,Balkumari Temple
68,2805,2,National Art Museum,National Art Museum
69,2805,4,National Art Museum,National Art Museum
